Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30,Deck
985737-priest-deck,auchenai soulpriest,beckoner of evil,beckoner of evil,circle of healing,cthun,disciple of cthun,disciple of cthun,doomcaller,holy nova,holy smite,kabal talonpriest,kabal talonpriest,knife juggler,knife juggler,lyra the sunshard,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,priest of the feast,radiant elemental,radiant elemental,shadow word death,shadow word death,shadow word horror,shadow word pain,shadow word pain,twilight elder,twilight elder,-1
985718-the-darkness-priest,archbishop benedictus,cobalt scalebane,cobalt scalebane,crystalline oracle,crystalline oracle,devour mind,devour mind,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,eternal servitude,kabal talonpriest,kabal talonpriest,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow ascendant,shadow ascendant,shadow word death,shadow word death,shadow word pain,the darkness,thoughtsteal,thoughtsteal,twilight acolyte,twilight acolyte,zola the gorgon,-1
985716-dragonpriest,book wyrm,book wyrm,cabal shadow priest,cabal shadow priest,doomsayer,doomsayer,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lone champion,lone champion,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,primordial drake,primordial drake,psychic scream,shadow visions,shadow visions,shadow word pain,shadow word pain,temporus,twilight acolyte,twilight acolyte,ysera,1
985703-why-not,barnes,circle of healing,circle of healing,dragon soul,embrace the shadow,embrace the shadow,lyra the sunshard,mind blast,mind blast,northshire cleric,northshire cleric,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,silence,silence,spirit lash,spirit lash,-1
985697-quest-priest-knc,awaken the makers,barnes,bloodmage thalnos,cairne bloodhoof,carnivorous cube,crystalline oracle,dragonfire potion,elise the trailblazer,gluttonous ooze,holy nova,kazakus,lesser diamond spellstone,loot hoarder,northshire cleric,nzoth the corruptor,obsidian statue,potion of madness,power word shield,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,shifting shade,spirit lash,tar creeper,tortollan shellraiser,twilights call,0
985685-miracle-dragonsoul-priest,divine spirit,dragon soul,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,holy smite,holy smite,inner fire,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,priest of the feast,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spirit lash,spirit lash,1
985684-k-c-dragon-preist,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,gluttonous ooze,holy nova,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,twilight acolyte,twilight acolyte,ysera,1
985675-k-c-highlander-razakus-dragon-preist,book wyrm,cobalt scalebane,doomsayer,dragonfire potion,drakonid operative,duskbreaker,elise the trailblazer,greater healing potion,holy nova,kazakus,mind blast,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,temporus,twilight acolyte,zola the gorgon,0
985638-recruit-1-2-3-dragon,bone drake,bone drake,dragonfire potion,dragonfire potion,dragonhatcher,dragonhatcher,drakkari enchanter,drakkari enchanter,eternal servitude,eternal servitude,greater healing potion,malygos,master oakheart,potion of madness,potion of madness,priest of the feast,priest of the feast,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word horror,shadow word pain,shadow word pain,sleepy dragon,sleepy dragon,spirit lash,spirit lash,ysera,-1
985631-miracle-priest,arcane giant,arcane giant,dragon soul,dragonfire potion,dragonfire potion,gadgetzan auctioneer,gadgetzan auctioneer,gilded gargoyle,gilded gargoyle,holy smite,holy smite,lesser diamond spellstone,lyra the sunshard,potion of madness,power word shield,power word shield,priest of the feast,priest of the feast,psionic probe,questing adventurer,questing adventurer,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,silence,spirit lash,1
985627-dragon-priest,book wyrm,cobalt scalebane,cobalt scalebane,curious glimmerroot,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,tar creeper,tar creeper,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
985556-lul,dragon soul,greater healing potion,greater healing potion,holy smite,holy smite,lyra the sunshard,mind vision,mind vision,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,silence,silence,thoughtsteal,thoughtsteal,unidentified elixir,unidentified elixir,-1
985549-dragon-priest,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,holy fire,netherspite historian,netherspite historian,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,ysera,1
985535-dragon-razakus,acolyte of pain,auchenai soulpriest,bloodmage thalnos,book wyrm,circle of healing,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,loot hoarder,netherspite historian,northshire cleric,novice engineer,pint size potion,potion of madness,power word shield,priest of the feast,primordial drake,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,spirit lash,twilight acolyte,twilight drake,unidentified elixir,0
985532-dragon-priest,curious glimmerroot,curious glimmerroot,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,elise the trailblazer,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,unidentified elixir,1
985531-deathrattle-priest,awaken the makers,bloodmage thalnos,bone drake,bone drake,cairne bloodhoof,carnivorous cube,carnivorous cube,gilded gargoyle,gilded gargoyle,herald volazj,loot hoarder,loot hoarder,mirage caller,mirage caller,nzoth the corruptor,obsidian statue,plated beetle,plated beetle,power word shield,power word shield,shadow word death,shadow word death,shadow word pain,shadow word pain,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,twilights call,twilights call,-1
985530-k-c-raza-dragon-priest-vrt2,acolyte of pain,alexstrasza,auchenai soulpriest,binding heal,bloodmage thalnos,circle of healing,cobalt scalebane,dragonfire potion,drakonid operative,duskbreaker,holy smite,kazakus,loot hoarder,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight acolyte,twilight drake,0
985521-kazamara,awaken the makers,bloodmage thalnos,bone drake,cabal shadow priest,cairne bloodhoof,crystalline oracle,doomsayer,dragonfire potion,harrison jones,kabal songstealer,loot hoarder,mirage caller,mistress of mixtures,northshire cleric,nzoth the corruptor,obsidian statue,potion of madness,power word shield,priest of the feast,psychic scream,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,shallow gravedigger,shifting shade,tortollan shellraiser,twilight acolyte,twilights call,0
985506-kobolds-big-priest,barnes,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,lesser diamond spellstone,lesser diamond spellstone,mass dispel,obsidian statue,obsidian statue,pint size potion,pint size potion,psychic scream,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,silence,the lich king,ysera,yshaarj rage unbound,2
985457-dragon-priest,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,hoarding dragon,hoarding dragon,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,power word shield,power word shield,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,twilight acolyte,twilight acolyte,twilight drake,twilights call,unidentified elixir,unidentified elixir,1
985433-big-priest,barnes,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,holy smite,holy smite,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spirit lash,spirit lash,the lich king,yshaarj rage unbound,2
985432-deathrattle-priest,awaken the makers,crystalline oracle,crystalline oracle,dragonfire potion,dragonfire potion,eternal servitude,lesser diamond spellstone,master oakheart,nzoth the corruptor,obsidian statue,obsidian statue,power word shield,power word shield,psychic scream,radiant elemental,radiant elemental,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,silver vanguard,silver vanguard,tortollan shellraiser,tortollan shellraiser,twilights call,twilights call,unidentified elixir,unidentified elixir,violet wurm,violet wurm,-1
985428-dragon-combo-priest,book wyrm,doomsayer,doomsayer,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,mind blast,mind blast,mirage caller,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,prophet velen,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,temporus,1
985365-k-c-dragon-priest-vrt1-no-keleseth-midrange,bonemare,bonemare,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,the lich king,twilight acolyte,twilight acolyte,1
985352-malygos-temporus-otk,bloodmage thalnos,book wyrm,book wyrm,circle of healing,circle of healing,dragonfire potion,dragonfire potion,duskbreaker,duskbreaker,holy smite,holy smite,loot hoarder,loot hoarder,malygos,mind blast,mind blast,mirage caller,mirage caller,northshire cleric,northshire cleric,potion of madness,potion of madness,psychic scream,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,temporus,twilights call,-1
985348-miracle-priestish,crystalline oracle,crystalline oracle,dragon soul,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,forbidden shaping,forbidden shaping,lesser diamond spellstone,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,thoughtsteal,thoughtsteal,-1
985300-dragolds-and-kazakombs,auchenai soulpriest,book wyrm,circle of healing,dragon soul,dragonfire potion,drakonid operative,duskbreaker,holy smite,kabal talonpriest,kazakus,netherspite historian,northshire cleric,pint size potion,potion of madness,power word shield,priest of the feast,primordial drake,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,silence,sleepy dragon,twilight acolyte,twilight drake,unidentified elixir,0
985285-dragon,acidic swamp ooze,bone drake,book wyrm,book wyrm,cabal shadow priest,cabal shadow priest,dragonfire potion,dragonslayer,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal songstealer,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,the lich king,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
985269-dragon-razakus-priest,alexstrasza,bloodmage thalnos,book wyrm,cobalt scalebane,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,gnomish inventor,greater healing potion,holy smite,kazakus,lyra the sunshard,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight acolyte,0
985258-dragon-priest,cabal shadow priest,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,fungal enchanter,fungal enchanter,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
985252-inner-fire-dragon-priest,alexstrasza,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,happy ghoul,happy ghoul,inner fire,inner fire,kabal talonpriest,kabal talonpriest,marin the fox,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,prince keleseth,twilight acolyte,twilight acolyte,zola the gorgon,-1
985230-dragon-razakus,acolyte of pain,bloodmage thalnos,book wyrm,cabal shadow priest,cobalt scalebane,dragonfire potion,drakonid operative,duskbreaker,harrison jones,holy nova,holy smite,kabal talonpriest,kazakus,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,primordial drake,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,spirit lash,tar creeper,temporus,twilight acolyte,twilight drake,0
985208-strictly-dragon-priest,bone drake,bone drake,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,free from amber,free from amber,kabal talonpriest,kabal talonpriest,medivh the guardian,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,psychic scream,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,sleepy dragon,twilight acolyte,twilight acolyte,1
985175-k-c-dragon-priest,bone drake,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,dragonhatcher,drakonid operative,drakonid operative,duskbreaker,lesser diamond spellstone,mind control,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,psionic probe,psionic probe,shadow word death,shadow word pain,shadow word pain,sleepy dragon,the curator,twilight acolyte,twilights call,wrathion,ysera,-1
985155-mercy-dragon-priest,barnes,circle of healing,deathwing,deathwing dragonlord,dragonfire potion,dragonfire potion,dragonhatcher,dragonhatcher,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,lesser diamond spellstone,nozdormu,obsidian statue,pint size potion,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadowreaper anduin,silence,ysera,yshaarj rage unbound,2
985154-kobolds-catacombs-dragon-soul-spell-priest-feat,dragon soul,dragonfire potion,dragonfire potion,gadgetzan auctioneer,gadgetzan auctioneer,gilded gargoyle,gilded gargoyle,lyra the sunshard,northshire cleric,northshire cleric,pint size potion,pint size potion,power word shield,power word shield,priest of the feast,priest of the feast,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,twilights call,yogg saron hopes end,1
985139-test,acolyte of pain,auchenai soulpriest,binding heal,bloodmage thalnos,circle of healing,curious glimmerroot,dragonfire potion,gadgetzan auctioneer,holy smite,kabal talonpriest,kazakus,loot hoarder,mass dispel,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,tar creeper,wild pyromancer,0
985129-kobolds-catacombs-dragon-priest,book wyrm,cabal shadow priest,cabal shadow priest,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,pint size potion,potion of madness,power word shield,power word shield,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
985118-dragon-highlander-priest,acolyte of pain,auchenai soulpriest,bloodmage thalnos,book wyrm,circle of healing,dragonfire potion,drakonid operative,duskbreaker,holy smite,kazakus,mind blast,netherspite historian,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,silence,twilight acolyte,twilight drake,0
985105-razakus,acolyte of pain,bloodmage thalnos,book wyrm,cabal shadow priest,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,greater healing potion,kazakus,loot hoarder,lyra the sunshard,northshire cleric,novice engineer,pint size potion,potion of madness,power word shield,primordial drake,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,spirit lash,temporus,twilight acolyte,twilight drake,wild pyromancer,0
985046-lyra-dragon-soul-deck,barnes,cobalt scalebane,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,psionic probe,psionic probe,psychic scream,shadow visions,shadow visions,shadow word death,shadow word pain,temporus,the lich king,thoughtsteal,twilight acolyte,ysera,1
985039-big-priest,barnes,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,greater healing potion,lesser diamond spellstone,obsidian statue,obsidian statue,pint size potion,pint size potion,potion of madness,potion of madness,psychic scream,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,spirit lash,the lich king,ysera,yshaarj rage unbound,2
985033-big-priest-knc,barnes,charged devilsaur,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,holy smite,lesser diamond spellstone,mass dispel,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,silence,the lich king,ysera,2
984998-dragon-highlander-priest,acolyte of pain,auchenai soulpriest,bloodmage thalnos,book wyrm,circle of healing,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,golakka crawler,holy smite,kazakus,lyra the sunshard,northshire cleric,pint size potion,potion of madness,power word shield,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,silence,spirit lash,twilight acolyte,twilight drake,wild pyromancer,0
984989-dragon-priest-kac,cabal shadow priest,cobalt scalebane,divine spirit,divine spirit,dragon soul,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,inner fire,inner fire,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
984975-dragons-chantey,bloodsail corsair,bloodsail corsair,bone drake,bone drake,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,northshire cleric,northshire cleric,patches the pirate,primordial drake,primordial drake,prince keleseth,southsea captain,southsea captain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,unidentified elixir,wrathion,-1
984951-dragopriest,bone drake,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,elise the trailblazer,harrison jones,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
984933-dragon-priest,book wyrm,book wyrm,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
984931-late-dragon,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,eternal servitude,free from amber,free from amber,golakka crawler,greater healing potion,medivh the guardian,mind control,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,primordial drake,shadow ascendant,shadow ascendant,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,tar creeper,tar creeper,twilight drake,twilight drake,-1
984928-miracle-otk,acolyte of pain,acolyte of pain,barnes,corrupted healbot,corrupted healbot,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,harrison jones,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,priest of the feast,psychic scream,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spirit lash,spirit lash,twilights call,twilights call,3
984857-dragon,bonemare,bonemare,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
984854-new-age-dragon-priest,acidic swamp ooze,book wyrm,book wyrm,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,netherspite historian,netherspite historian,obsidian statue,obsidian statue,power word shield,power word shield,primordial drake,primordial drake,psychic scream,psychic scream,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,unidentified elixir,unidentified elixir,1
984820-dragons-dont-fear-the-4,book wyrm,book wyrm,cabal shadow priest,cabal shadow priest,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,netherspite historian,netherspite historian,northshire cleric,northshire cleric,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,psychic scream,psychic scream,shadow visions,shadow visions,shadow word horror,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,ysera,1
984813-big-priest,barnes,dragon soul,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,greater healing potion,greater healing potion,holy smite,holy smite,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,pint size potion,pint size potion,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,the lich king,ysera,yshaarj rage unbound,2
984799-dragon-keleseth-razakus-tempo-priest,bloodsail corsair,bonemare,book wyrm,cabal shadow priest,cairne bloodhoof,cobalt scalebane,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,fire fly,harrison jones,kabal talonpriest,kazakus,northshire cleric,patches the pirate,potion of madness,power word shield,primordial drake,prince keleseth,raza the chained,saronite chain gang,shadow word death,shadowreaper anduin,southsea captain,tar creeper,the lich king,twilight acolyte,twilight drake,zola the gorgon,0
984796-jank-ass-dragon-deck,book wyrm,book wyrm,cabal shadow priest,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,gilded gargoyle,lesser diamond spellstone,netherspite historian,netherspite historian,northshire cleric,northshire cleric,obsidian statue,potion of madness,potion of madness,power word shield,power word shield,primordial drake,radiant elemental,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight drake,twilight drake,twilights call,1
984791-theorycraft-midrange-dragon-priest,auchenai soulpriest,auchenai soulpriest,book wyrm,book wyrm,circle of healing,circle of healing,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,thoughtsteal,1
984748-questing-priest,arfus,awaken the makers,bloodmage thalnos,bone drake,carnivorous cube,devilsaur egg,dragonfire potion,eternal servitude,gilded gargoyle,holy nova,kazakus,lesser diamond spellstone,lyra the sunshard,northshire cleric,nzoth the corruptor,obsidian statue,power word shield,priest of the feast,psychic scream,radiant elemental,raza the chained,shadow essence,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,shifting shade,spiritsinger umbra,twilights call,unidentified elixir,0
984693-kac-dragon-priest-theorycraft,bone drake,bone drake,bonemare,bonemare,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,shadow ascendant,shadow ascendant,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
984672-dragon-highlander,archbishop benedictus,bone drake,carnivorous cube,dragonfire potion,drakonid operative,duskbreaker,eternal servitude,fungal enchanter,kazakus,lesser diamond spellstone,lyra the sunshard,mukla tyrant of the vale,netherspite historian,northshire cleric,obsidian statue,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow essence,shadow madness,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,the curator,twilight acolyte,-1
984665-kac-quest-priest-theorycraft,awaken the makers,bone drake,bone drake,carnivorous cube,carnivorous cube,dragon soul,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,free from amber,lesser diamond spellstone,lesser diamond spellstone,nzoth the corruptor,obsidian statue,obsidian statue,potion of madness,potion of madness,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,tortollan shellraiser,tortollan shellraiser,twilights call,twilights call,-1
978186-zumpps-highlander-priest-dreamhack-winter-2017,acolyte of pain,auchenai soulpriest,bloodmage thalnos,circle of healing,dragonfire potion,giant wasp,holy fire,holy smite,kabal talonpriest,kazakus,loot hoarder,lyra the sunshard,mass dispel,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,stonehill defender,wild pyromancer,0
984629-new-razakus-but-not-so-new,acolyte of pain,bloodmage thalnos,curious glimmerroot,doomsayer,dragonfire potion,gnomish inventor,holy nova,holy smite,kazakus,loot hoarder,lyra the sunshard,mind blast,northshire cleric,novice engineer,pint size potion,potion of madness,power word shield,priest of the feast,prophet velen,psionic probe,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,silence,spirit lash,0
