Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30
897239-otk-priest,holy smite,northshire cleric,potion of madness,power word shield,mana geode,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,eternal servitude,priest of the feast,tortollan shellraiser,darkshire alchemist,holy nova,kabal songstealer,raza the chained,cabal shadow priest,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,bloodmage thalnos,loot hoarder,novice engineer,acolyte of pain,coldlight oracle,kazakus,the lich king
897194-otk-priest-kft,crystalline oracle,crystalline oracle,holy smite,holy smite,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,mirage caller,shadow word death,eternal servitude,eternal servitude,priest of the feast,priest of the feast,holy fire,prophet velen,shadowreaper anduin,obsidian statue,bloodmage thalnos,barnes,the lich king,nzoth the corruptor
897122-eternal-servitude-otk-high-skill-cap-lots-of-fun,circle of healing,circle of healing,northshire cleric,northshire cleric,power word shield,power word shield,embrace the shadow,embrace the shadow,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,holy nova,dragonfire potion,prophet velen,shadowreaper anduin,wild pyromancer,wild pyromancer,acolyte of pain,acolyte of pain,barnes,malygos,ysera
896611-otk-lyra-combo-control-stealing-priest,circle of healing,crystalline oracle,holy smite,mind vision,northshire cleric,potion of madness,power word shield,radiant elemental,shadow ascendant,shadow visions,shadow word pain,spirit lash,acolyte of agony,curious glimmerroot,mirage caller,shadow word death,thoughtsteal,auchenai soulpriest,eternal servitude,shifting shade,holy nova,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,doomsayer,coldlight oracle,happy ghoul,kazakus,alexstrasza
896441-otk-priest,circle of healing,binding heal,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,eternal servitude,priest of the feast,darkshire alchemist,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,mistress of mixtures,bloodmage thalnos,loot hoarder,novice engineer,acolyte of pain,coldlight oracle,gnomish inventor,kazakus,polluted hoarder
896377-raza-dk-priest-with-otk,forbidden shaping,inner fire,northshire cleric,potion of madness,power word shield,divine spirit,radiant elemental,shadow ascendant,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,mirage caller,shadow word death,eternal servitude,devour mind,raza the chained,cabal shadow priest,dragonfire potion,embrace darkness,shadow essence,prophet velen,free from amber,shadowreaper anduin,obsidian statue,mind control,snowflipper penguin,wisp,kazakus
896191-frozen-throne-otk,holy smite,holy smite,power word shield,power word shield,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,prophet velen,shadowreaper anduin,acolyte of pain,acolyte of pain,barnes,malygos,yshaarj rage unbound
896010-penguin-otk-priest,circle of healing,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,mirage caller,shadow word death,greater healing potion,priest of the feast,darkshire alchemist,holy nova,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,snowflipper penguin,doomsayer,coldlight oracle,kabal courier,stonehill defender,kazakus,harrison jones,skulking geist,the curator,primordial drake,the lich king
895588-lady-deathwhisper-otk-priest-for-standard-players,circle of healing,circle of healing,silence,silence,binding heal,binding heal,crystalline oracle,inner fire,northshire cleric,northshire cleric,power word shield,power word shield,divine spirit,divine spirit,shadow visions,shadow visions,greater healing potion,greater healing potion,mass dispel,mass dispel,bloodmage thalnos,crazed alchemist,loot hoarder,loot hoarder,novice engineer,novice engineer,acolyte of pain,acolyte of pain,gadgetzan auctioneer,gadgetzan auctioneer
895513-otk-priest-base,holy smite,holy smite,power word shield,mind blast,mind blast,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,mass dispel,holy nova,dragonfire potion,holy fire,prophet velen,shadowreaper anduin,acolyte of pain,acolyte of pain,malygos
895415-otk-priest,holy smite,holy smite,northshire cleric,northshire cleric,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,shadowform,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,prophet velen,acolyte of pain,acolyte of pain
895061-velen-or-malygos-ez-otk,holy smite,holy smite,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,priest of the feast,priest of the feast,lyra the sunshard,embrace darkness,holy fire,shadow essence,shadow essence,prophet velen,doomsayer,doomsayer,barnes,malygos
894973-lord-marrowgar-easy-standard-otk-priest-1st-try,silence,silence,inner fire,inner fire,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,divine spirit,divine spirit,purify,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,kabal talonpriest,kabal talonpriest,shadow word death,shadow word death,acidic swamp ooze,acidic swamp ooze,ancient watcher,ancient watcher,humongous razorleaf,humongous razorleaf
894823-lord-marrowgar-otk-1st-try,silence,silence,inner fire,inner fire,northshire cleric,northshire cleric,power word shield,power word shield,divine spirit,divine spirit,purify,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,kabal talonpriest,kabal talonpriest,kabal songstealer,kabal songstealer,lyra the sunshard,ancient watcher,ancient watcher,acolyte of pain,acolyte of pain,humongous razorleaf,humongous razorleaf,barnes,faceless shambler,faceless shambler
894666-otk-shadow-priest,circle of healing,forbidden shaping,silence,potion of madness,power word shield,shadow visions,shadow word pain,mirage caller,shadow word death,thoughtsteal,eternal servitude,drakonid operative,holy nova,raza the chained,dragonfire potion,prophet velen,free from amber,shadowreaper anduin,obsidian statue,snowflipper penguin,bloodmage thalnos,loot hoarder,kazakus,twilight drake,bone drake,corrupted seer,wrathion,the curator,primordial drake,the lich king
894639-otk-penguin-priest,circle of healing,crystalline oracle,northshire cleric,power word shield,shadow word pain,spirit lash,acolyte of agony,kabal talonpriest,mirage caller,shadow word death,auchenai soulpriest,eternal servitude,greater healing potion,shifting shade,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,snowflipper penguin,bloodmage thalnos,doomsayer,wild pyromancer,acolyte of pain,stonehill defender,kazakus,burgly bully,elise the trailblazer,the black knight,the lich king
894260-voidform-otk,circle of healing,forbidden shaping,silence,northshire cleric,pint size potion,potion of madness,power word shield,mana geode,radiant elemental,shadow word pain,curious glimmerroot,shadow word death,eternal servitude,greater healing potion,priest of the feast,holy nova,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,acidic swamp ooze,doomsayer,kabal courier,prince taldaram,kazakus,elise the trailblazer,the lich king,yogg saron hopes end
893916-voidform-otk,circle of healing,forbidden shaping,silence,northshire cleric,pint size potion,potion of madness,power word shield,mana geode,radiant elemental,shadow word pain,curious glimmerroot,shadow word death,eternal servitude,greater healing potion,priest of the feast,holy nova,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,acidic swamp ooze,doomsayer,kabal courier,prince taldaram,kazakus,elise the trailblazer,the lich king,yogg saron hopes end
884734-shadowreaper-otk-priest,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,acolyte of agony,kabal talonpriest,shadow word death,drakonid operative,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,kazakus,prince valanar,burgly bully,cobalt scalebane,elise the trailblazer,harrison jones,skulking geist,the lich king,ysera
893686-new-otk-priest-combo-deck,circle of healing,circle of healing,silence,silence,binding heal,holy smite,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,kabal talonpriest,mirage caller,shadow word death,greater healing potion,priest of the feast,darkshire alchemist,holy nova,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,doomsayer,loot hoarder,novice engineer,acolyte of pain,kazakus,harrison jones
893546-otk-miracle-priest,crystalline oracle,northshire cleric,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,curious glimmerroot,thoughtsteal,mass dispel,mindgames,shifting shade,lyra the sunshard,raza the chained,shadow essence,shadowreaper anduin,bloodmage thalnos,loot hoarder,novice engineer,acolyte of pain,coldlight oracle,barnes,gnomish inventor,kazakus,polluted hoarder,elise the trailblazer,harrison jones,prince malchezaar,madam goya,the lich king
893158-kft-otk-priest,potion of madness,potion of madness,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,acolyte of agony,acolyte of agony,shadow word death,shadow word death,eternal servitude,eternal servitude,mass dispel,mass dispel,shadow madness,shadow madness,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,prophet velen,shadowreaper anduin,acolyte of pain,acolyte of pain
892925-combo-with-sometimes-otk,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,acolyte of agony,curious glimmerroot,kabal talonpriest,shadow word death,eternal servitude,priest of the feast,lyra the sunshard,raza the chained,dragonfire potion,embrace darkness,shadowreaper anduin,obsidian statue,acidic swamp ooze,doomsayer,golakka crawler,stubborn gastropod,happy ghoul,kabal courier,tar creeper,corpsetaker,kazakus,saronite chain gang,elise the trailblazer,primordial drake
892420-otk-to-be-nerfed,circle of healing,circle of healing,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,kabal talonpriest,kabal talonpriest,mirage caller,shadow word death,shadow word death,auchenai soulpriest,auchenai soulpriest,eternal servitude,eternal servitude,dragonfire potion,dragonfire potion,prophet velen,wild pyromancer,wild pyromancer
891923-otk-priest,forbidden shaping,silence,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,curious glimmerroot,mirage caller,shadow word death,priest of the feast,tortollan shellraiser,holy nova,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,mistress of mixtures,doomsayer,golakka crawler,loot hoarder,acolyte of pain,gluttonous ooze,bright eyed scout,kazakus,burgly bully,elise the trailblazer,primordial drake
881859-standard-otk-shadow-freeze-priest,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,curious glimmerroot,kabal talonpriest,kabal talonpriest,shadow word death,shadow word death,priest of the feast,priest of the feast,lyra the sunshard,dragonfire potion,dragonfire potion,free from amber,free from amber,shadowreaper anduin,elise the trailblazer,medivh the guardian,alexstrasza
890854-shadow-anduin-otk,circle of healing,forbidden shaping,silence,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,mirage caller,shadow word death,greater healing potion,priest of the feast,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,free from amber,shadowreaper anduin,acidic swamp ooze,doomsayer,kabal courier,stonehill defender,tar creeper,kazakus,the lich king
890486-otk-with-mist,circle of healing,circle of healing,holy smite,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,auchenai soulpriest,auchenai soulpriest,eternal servitude,eternal servitude,dragonfire potion,dragonfire potion,prophet velen,shadowreaper anduin,wild pyromancer,wild pyromancer,acolyte of pain,acolyte of pain,the lich king
890467-cheesy-resurrect-barnes-priest-with-otk,forbidden shaping,forbidden shaping,crystalline oracle,crystalline oracle,mind vision,mind vision,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,eternal servitude,eternal servitude,mass dispel,mass dispel,devour mind,devour mind,lyra the sunshard,prophet velen,obsidian statue,obsidian statue,acolyte of pain,barnes,the lich king,ysera
890205-otk-anduin,crystalline oracle,northshire cleric,potion of madness,power word shield,mana geode,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,acolyte of agony,curious glimmerroot,kabal talonpriest,shadow word death,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,emerald hive queen,doomsayer,kabal courier,tar creeper,arfus,kazakus,elise the trailblazer,harrison jones,skulking geist,the black knight,the lich king
890109-probably-the-best-deck-in-the-game-ez-otk,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,eternal servitude,eternal servitude,lyra the sunshard,dragonfire potion,shadow essence,shadow essence,prophet velen,shadowreaper anduin,obsidian statue,obsidian statue,loot hoarder,loot hoarder,barnes
889836-otk-maly-vel-kft-deck,silence,silence,northshire cleric,northshire cleric,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,mass dispel,dragonfire potion,dragonfire potion,shadow essence,shadow essence,prophet velen,free from amber,shadowreaper anduin,barnes,the lich king,malygos
878779-velen-otk-priest,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,holy nova,holy nova,dragonfire potion,dragonfire potion,holy fire,holy fire,prophet velen,loot hoarder,loot hoarder,acolyte of pain,acolyte of pain
889603-quest-otk-priest,awaken the makers,crystalline oracle,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,mirage caller,eternal servitude,shifting shade,tortollan shellraiser,lyra the sunshard,onyx bishop,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,coldlight oracle,gluttonous ooze,shallow gravedigger,stonehill defender,arfus,barnes,corpsetaker,skelemancer,cairne bloodhoof,the lich king,nzoth the corruptor
889109-otk-hollow-priest,circle of healing,forbidden shaping,silence,crystalline oracle,northshire cleric,potion of madness,shadow visions,spirit lash,mirage caller,shadow word death,eternal servitude,priest of the feast,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,embrace darkness,prophet velen,free from amber,shadowreaper anduin,obsidian statue,bloodmage thalnos,loot hoarder,novice engineer,acolyte of pain,coldlight oracle,kabal courier,stonehill defender,kazakus
889096-otk-combo-velen-dkpriest,circle of healing,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,greater healing potion,priest of the feast,shadow madness,shadow word horror,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,mistress of mixtures,doomsayer,wild pyromancer,injured blademaster,kabal courier,kazakus,gadgetzan auctioneer,primordial drake
889056-otk-penguin-priest,silence,binding heal,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,mirage caller,shadow word death,greater healing potion,priest of the feast,holy nova,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,snowflipper penguin,bloodmage thalnos,loot hoarder,novice engineer,wild pyromancer,acolyte of pain,coldlight oracle,gluttonous ooze,kazakus,the curator,primordial drake
889024-kft-otk-priest,circle of healing,circle of healing,holy smite,holy smite,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,auchenai soulpriest,auchenai soulpriest,eternal servitude,eternal servitude,priest of the feast,priest of the feast,prophet velen,bloodmage thalnos,wild pyromancer,wild pyromancer,acolyte of pain,acolyte of pain,the lich king,alexstrasza
888974-otk-priset,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,curious glimmerroot,mirage caller,shadow word death,priest of the feast,tortollan shellraiser,holy nova,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,snowflipper penguin,wisp,mistress of mixtures,doomsayer,golakka crawler,loot hoarder,acolyte of pain,gluttonous ooze,bright eyed scout,kazakus,burgly bully,elise the trailblazer,primordial drake
888926-otk,circle of healing,northshire cleric,power word shield,radiant elemental,shadow visions,shadow visions,shadow word pain,spirit lash,acolyte of agony,curious glimmerroot,mirage caller,shadow word death,auchenai soulpriest,priest of the feast,darkshire alchemist,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,loot hoarder,tainted zealot,acolyte of pain,corpsetaker,kazakus,saronite chain gang,the lich king
888845-kft-otk-priest,holy smite,holy smite,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,holy nova,dragonfire potion,dragonfire potion,prophet velen,acolyte of pain,acolyte of pain,skulking geist,yogg saron hopes end
888576-otk,circle of healing,circle of healing,holy smite,holy smite,northshire cleric,northshire cleric,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,holy nova,lyra the sunshard,dragonfire potion,prophet velen,bloodmage thalnos,injured blademaster,injured blademaster,malygos
888331-meme-otk,binding heal,binding heal,holy smite,holy smite,power word shield,power word shield,mind blast,mind blast,purify,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,holy nova,holy nova,dragonfire potion,shadow essence,shadow essence,prophet velen,barnes,malygos
886578-eternal-servitude-otk,holy smite,holy smite,pint size potion,pint size potion,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,prophet velen,shadowreaper anduin,malygos
885752-otk-kft-priest,holy smite,holy smite,potion of madness,potion of madness,mind blast,mind blast,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,thoughtsteal,thoughtsteal,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,shadow word horror,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,prophet velen,barnes
884850-eternal-servitude-otk,circle of healing,circle of healing,holy smite,holy smite,northshire cleric,northshire cleric,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shadow word death,auchenai soulpriest,auchenai soulpriest,eternal servitude,eternal servitude,holy nova,lyra the sunshard,dragonfire potion,prophet velen,wild pyromancer,wild pyromancer
884629-otk-velen,circle of healing,circle of healing,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,lyra the sunshard,raza the chained,dragonfire potion,dragonfire potion,prophet velen,shadowreaper anduin,wild pyromancer,wild pyromancer,acolyte of pain,acolyte of pain
884018-otk-dk-priest-kft,circle of healing,binding heal,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,acolyte of agony,curious glimmerroot,mirage caller,shadow word death,auchenai soulpriest,greater healing potion,priest of the feast,holy nova,lyra the sunshard,raza the chained,dragonfire potion,embrace darkness,shadowreaper anduin,mistress of mixtures,bloodmage thalnos,gluttonous ooze,kabal courier,kazakus,elise the trailblazer,yogg saron hopes end
883701-lyra-otk-priest-w-shadowreaper,circle of healing,forbidden shaping,holy smite,northshire cleric,pint size potion,potion of madness,power word shield,radiant elemental,radiant elemental,shadow visions,shadow word pain,spirit lash,kabal talonpriest,mirage caller,shadow word death,auchenai soulpriest,eternal servitude,greater healing potion,priest of the feast,shadow madness,shadow word horror,holy nova,lyra the sunshard,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,happy ghoul,arfus,the lich king
882830-frozen-throne-otk-shadow-priest,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,shadow word death,drakonid operative,holy nova,kabal songstealer,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,netherspite historian,acolyte of pain,stonehill defender,kazakus,twilight drake,bone drake,book wyrm,primordial drake,the lich king,ysera
882474-amara-otk,awaken the makers,binding heal,holy smite,northshire cleric,power word shield,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,greater healing potion,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,embrace darkness,shadow essence,prophet velen,shadowreaper anduin,obsidian statue,mistress of mixtures,gluttonous ooze,arfus,barnes,kazakus,cairne bloodhoof,the lich king,nzoth the corruptor
882421-barnes-otk,binding heal,binding heal,holy smite,holy smite,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,holy nova,dragonfire potion,dragonfire potion,embrace darkness,holy fire,holy fire,shadow essence,prophet velen,shadowreaper anduin,barnes,malygos
872599-120-damage-otk-priest-refined,circle of healing,circle of healing,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,embrace the shadow,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,lyra the sunshard,dragonfire potion,prophet velen,wild pyromancer,wild pyromancer,acolyte of pain,acolyte of pain
881605-otk-deathknight,northshire cleric,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,eternal servitude,darkshire alchemist,devour mind,lyra the sunshard,raza the chained,dragonfire potion,embrace darkness,free from amber,shadowreaper anduin,obsidian statue,mistress of mixtures,doomsayer,acolyte of pain,arfus,kazakus,big game hunter,harrison jones,skulking geist,the black knight,the lich king
881595-otk-priest,holy smite,holy smite,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,prophet velen,barnes,malygos
879788-ktf-otk-preist,holy smite,holy smite,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,priest of the feast,holy nova,lyra the sunshard,dragonfire potion,shadow essence,prophet velen,eater of secrets
879545-otk-dk,circle of healing,crystalline oracle,holy smite,northshire cleric,potion of madness,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word death,greater healing potion,priest of the feast,darkshire alchemist,holy nova,raza the chained,shadow essence,shadowreaper anduin,obsidian statue,acidic swamp ooze,bloodmage thalnos,doomsayer,loot hoarder,acolyte of pain,coldlight oracle,earthen ring farseer,kazakus,primordial drake,soggoth the slitherer
879264-wont-work-otk,binding heal,binding heal,inner fire,inner fire,northshire cleric,northshire cleric,power word shield,power word shield,divine spirit,divine spirit,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,holy nova,holy nova,dragonfire potion,dragonfire potion,prophet velen,shadowreaper anduin,acolyte of pain,acolyte of pain
879038-heavy-resurect-otk-priest,circle of healing,holy smite,holy smite,pint size potion,pint size potion,potion of madness,potion of madness,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,auchenai soulpriest,eternal servitude,eternal servitude,greater healing potion,priest of the feast,shadow word horror,onyx bishop,onyx bishop,dragonfire potion,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,obsidian statue,the lich king
878867-kazakus-otk,northshire cleric,potion of madness,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,eternal servitude,priest of the feast,tortollan shellraiser,holy nova,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,embrace darkness,free from amber,shadowreaper anduin,obsidian statue,golakka crawler,gluttonous ooze,happy ghoul,arfus,kazakus,elise the trailblazer,the lich king
878544-otk-burn-priest,circle of healing,silence,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,eternal servitude,eternal servitude,shadow word horror,lyra the sunshard,dragonfire potion,shadow essence,shadow essence,prophet velen,shadowreaper anduin,bloodmage thalnos,prince taldaram,barnes,malygos
878515-otk-knights-of-the-frozen-throne,northshire cleric,power word shield,radiant elemental,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,priest of the feast,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,bloodmage thalnos,doomsayer,loot hoarder,novice engineer,wild pyromancer,acolyte of pain,gluttonous ooze,eater of secrets,kazakus,elise the trailblazer,the curator,primordial drake,alexstrasza,ysera
878477-shadowreaper-anduin-otk,forbidden shaping,crystalline oracle,holy smite,northshire cleric,potion of madness,power word shield,mind blast,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,greater healing potion,priest of the feast,holy nova,lyra the sunshard,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,acidic swamp ooze,doomsayer,happy ghoul,kabal courier,tar creeper,kazakus,elise the trailblazer,primordial drake,alexstrasza
878476-velen-otk-priest,northshire cleric,northshire cleric,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,mass dispel,dragonfire potion,shadow essence,prophet velen,obsidian statue,obsidian statue,doomsayer,doomsayer,acolyte of pain,acolyte of pain,eater of secrets,eater of secrets,corpse raiser,primordial drake,primordial drake
878344-otk-priest,holy smite,holy smite,potion of madness,potion of madness,power word shield,power word shield,mind blast,mind blast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,prophet velen,loot hoarder,loot hoarder,acolyte of pain,acolyte of pain,malygos
